Framework,Control ID,Control Name,Asset ID,Status,Evidence Name,Evidence ID,Verification Status,Last Updated
SOC 2 Type II,CC6.8,Malicious Software,asset-EILT0197,Compliant,System Check: Windows Defender Antivirus,auto-ev-EILT0197-CC6.8-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.8,Malicious Software,asset-EILT0197,Compliant,System Check: Prohibited Software,auto-ev-EILT0197-CC6.8-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO/IEC 27001:2022,A.8.7,Protection Against Malware,asset-EILT0197,Compliant,System Check: Windows Defender Antivirus,auto-ev-EILT0197-A.8.7-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO/IEC 27001:2022,A.8.7,Protection Against Malware,asset-EILT0197,Compliant,System Check: Attack Surface Reduction,auto-ev-EILT0197-A.12.2.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,DE.CM-4,Malicious Code,asset-EILT0197,Compliant,System Check: Windows Defender Antivirus,auto-ev-EILT0197-DE.CM-4-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO/IEC 27001:2022,A.5.15,Access Control,asset-EILT0197,Compliant,Unnamed Evidence,N/A,N/A,2026-02-25T15:00:29.957204
ISO/IEC 27001:2022,A.5.15,Access Control,asset-EILT0197,Compliant,System Check: Password Policy (Min Length),auto-ev-EILT0197-A.9.4.3-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Payment Card Industry Data Security Standard,PCI-8.1.1,Unique IDs,asset-EILT0197,Compliant,Unnamed Evidence,N/A,N/A,2026-02-25T14:29:50.549067+00:00
Payment Card Industry Data Security Standard,PCI-8.1.1,Unique IDs,asset-EILT0197,Compliant,System Check: Password Policy (Min Length),auto-ev-EILT0197-PCI-8.1.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Payment Card Industry Data Security Standard,PCI-8.1.1,Unique IDs,asset-EILT0197,Compliant,System Check: Guest Account Disabled,auto-ev-EILT0197-PCI-8.1.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO 27001 (Assumed),A.9.4.1,Unknown Control,asset-EILT0197,Warning,Unnamed Evidence,N/A,N/A,2026-02-25T14:29:50.549067+00:00
ISO 27001 (Assumed),A.9.4.1,Unknown Control,asset-EILT0197,Warning,System Check: Password Policy (Min Length),auto-ev-EILT0197-A.9.4.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO 27001 (Assumed),A.9.4.1,Unknown Control,asset-EILT0197,Warning,System Check: User Access Control,auto-ev-EILT0197-A.9.4.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO 27001 (Assumed),A.9.4.1,Unknown Control,asset-EILT0197,Warning,System Check: Credential Guard,auto-ev-EILT0197-A.9.4.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.1,Logical Access Security,asset-EILT0197,Compliant,Unnamed Evidence,N/A,N/A,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.1,Logical Access Security,asset-EILT0197,Compliant,System Check: Password Policy (Min Length),auto-ev-EILT0197-CC6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.1,Logical Access Security,asset-EILT0197,Compliant,System Check: Guest Account Disabled,auto-ev-EILT0197-CC6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.1,Logical Access Security,asset-EILT0197,Compliant,System Check: BitLocker Encryption,auto-ev-EILT0197-CC6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.1,Logical Access Security,asset-EILT0197,Compliant,System Check: User Access Control,auto-ev-EILT0197-CC6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.1,Logical Access Security,asset-EILT0197,Compliant,System Check: Maximum Password Age,auto-ev-EILT0197-CC6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.1,Logical Access Security,asset-EILT0197,Compliant,System Check: Account Lockout Policy,auto-ev-EILT0197-CC6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.1,Logical Access Security,asset-EILT0197,Compliant,System Check: Password Complexity,auto-ev-EILT0197-CC6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.1,Logical Access Security,asset-EILT0197,Compliant,System Check: Password History,auto-ev-EILT0197-CC6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.1,Logical Access Security,asset-EILT0197,Compliant,System Check: Minimum Password Age,auto-ev-EILT0197-CC6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.1,Logical Access Security,asset-EILT0197,Compliant,System Check: Credential Guard,auto-ev-EILT0197-CC6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.1,Logical Access Security,asset-EILT0197,Compliant,System Check: Controlled Folder Access,auto-ev-EILT0197-CC6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.1,Logical Access Security,asset-EILT0197,Compliant,System Check: Idle Timeout (Screensaver),auto-ev-EILT0197-CC6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC6.1,Logical Access Security,asset-EILT0197,Compliant,System Check: Local Administrator Auditing,auto-ev-EILT0197-CC6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Unknown,IA-5,Unknown Control,asset-EILT0197,Compliant,Unnamed Evidence,N/A,N/A,2026-02-25T14:29:50.549067+00:00
Unknown,IA-5,Unknown Control,asset-EILT0197,Compliant,System Check: Password Policy (Min Length),auto-ev-EILT0197-IA-5-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Unknown,IA-5,Unknown Control,asset-EILT0197,Compliant,System Check: Maximum Password Age,auto-ev-EILT0197-IA-5-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Unknown,IA-5,Unknown Control,asset-EILT0197,Compliant,System Check: Password Complexity,auto-ev-EILT0197-IA-5-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Unknown,IA-5,Unknown Control,asset-EILT0197,Compliant,System Check: Password History,auto-ev-EILT0197-IA-5-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Unknown,IA-5,Unknown Control,asset-EILT0197,Compliant,System Check: Minimum Password Age,auto-ev-EILT0197-IA-5-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO 27001 (Assumed),A.9.2.1,Unknown Control,asset-EILT0197,Compliant,System Check: Guest Account Disabled,auto-ev-EILT0197-A.9.2.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
