Framework,Control ID,Control Name,Asset ID,Status,Evidence Name,Evidence ID,Verification Status,Last Updated
Payment Card Industry Data Security Standard,PCI-9.5,Media Protection,asset-srihari-laptop,Compliant,System Check: Data Backup & Recovery Simulation,auto-ev-srihari-laptop-PCI-9.5-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.10,Information Deletion,asset-srihari-laptop,Compliant,System Check: Information Deletion & Disposal Simulation,auto-ev-srihari-laptop-A.8.10-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Unknown,Privacy-2,Unknown Control,asset-srihari-laptop,Compliant,System Check: Information Deletion & Disposal Simulation,auto-ev-srihari-laptop-Privacy-2-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Unknown,Privacy-3,Unknown Control,asset-srihari-laptop,Compliant,System Check: Information Deletion & Disposal Simulation,auto-ev-srihari-laptop-Privacy-3-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Payment Card Industry Data Security Standard,PCI-9.1,Physical Security,asset-srihari-laptop,Compliant,System Check: Information Deletion & Disposal Simulation,auto-ev-srihari-laptop-PCI-9.1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Unknown,PR.DS-3,Unknown Control,asset-srihari-laptop,Compliant,System Check: Information Deletion & Disposal Simulation,auto-ev-srihari-laptop-PR.DS-3-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Payment Card Industry Data Security Standard,PCI-3.1,Cardholder Data Storage,asset-srihari-laptop,Compliant,System Check: Information Deletion & Disposal Simulation,auto-ev-srihari-laptop-PCI-3.1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Unknown,06.0,Unknown Control,asset-srihari-laptop,Compliant,System Check: Cryptographic Controls Extension Simulation,auto-ev-srihari-laptop-06.0-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
General Data Protection Regulation,Art.32(1)(b),"Confidentiality, Integrity, Availability",asset-srihari-laptop,Compliant,System Check: Cryptographic Controls Extension Simulation,auto-ev-srihari-laptop-Art.32(1)(b)-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
General Data Protection Regulation,Art.32(1)(a),Encryption,asset-srihari-laptop,Compliant,System Check: Cryptographic Controls Extension Simulation,auto-ev-srihari-laptop-Art.32(1)(a)-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.29,Security Testing in Development and Acceptance,asset-srihari-laptop,Compliant,System Check: Secure Development & Coding Simulation,auto-ev-srihari-laptop-A.8.29-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.30,Outsourced Development,asset-srihari-laptop,Compliant,System Check: Secure Development & Coding Simulation,auto-ev-srihari-laptop-A.8.30-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.26,Application Security Requirements,asset-srihari-laptop,Compliant,System Check: Secure Development & Coding Simulation,auto-ev-srihari-laptop-A.8.26-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.25,Secure Development Life Cycle,asset-srihari-laptop,Compliant,System Check: Secure Development & Coding Simulation,auto-ev-srihari-laptop-A.8.25-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Unknown,PR.IP-2,Unknown Control,asset-srihari-laptop,Compliant,System Check: Secure Development & Coding Simulation,auto-ev-srihari-laptop-PR.IP-2-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
SOC 2 Type II,CC7.1,Configuration Management,asset-srihari-laptop,Compliant,System Check: Secure Development & Coding Simulation,auto-ev-srihari-laptop-CC7.1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Payment Card Industry Data Security Standard,PCI-6.1,Vulnerability Ranking,asset-srihari-laptop,Compliant,System Check: Secure Development & Coding Simulation,auto-ev-srihari-laptop-PCI-6.1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Payment Card Industry Data Security Standard,PCI-6.3,Secure Software,asset-srihari-laptop,Compliant,System Check: Secure Development & Coding Simulation,auto-ev-srihari-laptop-PCI-6.3-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
SOC 2 Type II,CC8.1,Change Management,asset-srihari-laptop,Compliant,System Check: Change Management Simulation,auto-ev-srihari-laptop-CC8.1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
SOC 2 Type II,CC8.1,Change Management,asset-srihari-laptop,Compliant,System Check: Secure Development & Coding Simulation,auto-ev-srihari-laptop-CC8.1-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.31,"Separation of Development, Test and Production Environments",asset-srihari-laptop,Compliant,System Check: Secure Development & Coding Simulation,auto-ev-srihari-laptop-A.8.31-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.28,Secure Coding,asset-srihari-laptop,Compliant,System Check: Secure Development & Coding Simulation,auto-ev-srihari-laptop-A.8.28-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.32,Change Management,asset-srihari-laptop,Compliant,System Check: Change Management Simulation,auto-ev-srihari-laptop-A.8.32-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
Unknown,PCI-6.4,Unknown Control,asset-srihari-laptop,Compliant,System Check: Change Management Simulation,auto-ev-srihari-laptop-PCI-6.4-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
NIST Cybersecurity Framework,PR.IP-3,Configuration Change Control,asset-srihari-laptop,Compliant,System Check: Change Management Simulation,auto-ev-srihari-laptop-PR.IP-3-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.8.17,Clock Synchronization,asset-srihari-laptop,Compliant,System Check: Clock Synchronization Simulation,auto-ev-srihari-laptop-A.8.17-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
