Record 6974b02ec635511812567aa3: AssetID=asset-TEST-WIN-EVIDENCE, Evidence=1, Status=OK
Record 6974b02ec635511812567aa4: AssetID=asset-TEST-WIN-EVIDENCE, Evidence=1, Status=OK
Record 6974b02ec635511812567aa5: AssetID=asset-TEST-WIN-EVIDENCE, Evidence=1, Status=OK
Record 6974b02ec635511812567aa6: AssetID=asset-TEST-WIN-EVIDENCE, Evidence=1, Status=OK
Record 6974b02ec635511812567aa7: AssetID=asset-TEST-WIN-EVIDENCE, Evidence=1, Status=OK
Record 6974b02ec635511812567aa8: AssetID=asset-TEST-WIN-EVIDENCE, Evidence=1, Status=OK
Record 6974b02ec635511812567aa9: AssetID=asset-TEST-WIN-EVIDENCE, Evidence=1, Status=OK
Record 6974b02ec635511812567aaa: AssetID=asset-TEST-WIN-EVIDENCE, Evidence=1, Status=OK
Record 6980c438c35f3e7b8f154e71: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 6980c438c35f3e7b8f154e72: AssetID=asset-EILT0197, Evidence=1, Status=OK
Record 6980c438c35f3e7b8f154e73: AssetID=asset-EILT0197, Evidence=1, Status=OK
Total Orphans: 0
